No.,Currency,Amount Applied For,Amount Awarded,Award Date,Recipient,Funder
204,GBP,4843,10000,12/12/2012,Midlothian Association of Play,The National Lottery Community Fund
250,GBP,1895,1895,17/03/2014,Midlothian Association of Play,The National Lottery Community Fund
48,GBP,4571,4571,07/06/2006,Midlothian Befriending Scheme,The National Lottery Community Fund
75,GBP,9725,9725,22/08/2007,Midlothian Befriending Scheme,The National Lottery Community Fund
58,GBP,10000,10000,05/12/2006,Midlothian Community Media Association,The National Lottery Community Fund
107,GBP,9690,9690,15/04/2009,Midlothian Community Media Association,The National Lottery Community Fund
346,GBP,7006,7006,15/09/2017,Midlothian Community Media Association,The National Lottery Community Fund
470,GBP,2000,2000,17/06/2020,Midlothian Community Media Association,Scottish Government
285,GBP,2114,2114,12/06/2015,Midlothian Community Safety and JusticePartnership,The National Lottery Community Fund
28,GBP,4650,4650,01/06/2005,Midlothian Council,The National Lottery Community Fund
87,GBP,9473,9223,19/03/2008,Midlothian Council,The National Lottery Community Fund
312,GBP,9989,9989,06/09/2016,Midlothian Council,The National Lottery Community Fund
152,GBP,1315,862,28/03/2011,Midlothian Council ,The National Lottery Community Fund
310,GBP,6726,6726,06/09/2016,Midlothian Council ,The National Lottery Community Fund
319,GBP,4720,6220,02/12/2016,Midlothian Financial Inclusion Network,Scottish Council For Voluntary Organisations
345,GBP,8840,8840,09/08/2017,Midlothian Financial Inclusion Network,Scottish Council For Voluntary Organisations
381,GBP,7654,7654,10/08/2018,Midlothian Financial Inclusion Network,Scottish Council For Voluntary Organisations
387,GBP,9052,9052,01/10/2018,Midlothian Financial Inclusion Network,Scottish Council For Voluntary Organisations
482,GBP,2000,2000,10/09/2020,Midlothian Foodbank,Scottish Government
421,GBP,250,500,23/07/2019,Midlothian Foodbank ,Virgin Money Foundation
494,GBP,3020,3020,10/09/2020,Midlothian Foster Carers Forum,The National Lottery Community Fund
168,GBP,1953,1953,06/10/2011,Midlothian Gymnastics and Trampolining Club,The National Lottery Community Fund
237,GBP,1830,1830,08/10/2013,Midlothian Gymnastics and Trampolining Club,The National Lottery Community Fund
436,GBP,1000,1000,12/02/2020,Volunteer Midlothian,Scottish Council For Voluntary Organisations
315,GBP,2475,2475,06/10/2016,Midlothian People's Equality Group,The National Lottery Community Fund
361,GBP,1980,1980,30/01/2018,Midlothian People's Equality Group,The National Lottery Community Fund
398,GBP,3976,3976,19/11/2018,Midlothian PlayBase scio,Co-operative Group
71,GBP,8650,8650,07/06/2007,Midlothian Sure Start,The National Lottery Community Fund
286,GBP,4910,4910,12/06/2015,Midlothian Sure Start,The National Lottery Community Fund
425,GBP,45000,45000,10/09/2019,Midlothian Sure Start,The Robertson Trust
488,GBP,4000,2000,10/09/2020,Midlothian Sure Start,Scottish Government
18,GBP,1650,1083,09/11/2004,Midlothian Swimming Club,The National Lottery Community Fund
187,GBP,1000,1000,28/06/2012,Midlothian Swimming Club,The National Lottery Community Fund
30,GBP,4160,4160,22/07/2005,Midlothian Voluntary Action,The National Lottery Community Fund
44,GBP,4530,4530,09/03/2006,Midlothian Voluntary Action,The National Lottery Community Fund
139,GBP,1372,1372,26/08/2010,Midlothian Voluntary Action,The National Lottery Community Fund
140,GBP,6500,6500,24/09/2010,Midlothian Voluntary Action,The National Lottery Community Fund
243,GBP,9475,9475,29/01/2014,Midlothian Voluntary Action,The National Lottery Community Fund
261,GBP,8800,8800,26/05/2014,Midlothian Voluntary Action,The National Lottery Heritage Fund
479,GBP,2000,2000,08/07/2020,Midlothian Voluntary Action,Scottish Government
41,GBP,5000,5000,09/02/2006,Midlothian Young People's Advice Service,The National Lottery Community Fund
329,GBP,36000,36000,31/01/2017,Midlothian Young People's Advice Service,The Robertson Trust
464,GBP,8063,8063,11/06/2020,Midlothian Young People's Advice Service,Scottish Government
474,GBP,3780,3780,23/06/2020,Midlothian Young People's Advice Service,Comic Relief
489,GBP,4000,2000,10/09/2020,Midlothian Young People's Advice Service,Scottish Government
376,GBP,3300,3300,21/06/2018,Midlothian Youth Platform,The National Lottery Heritage Fund
177,GBP,10000,10000,15/03/2012,Moorfix Community Cinema,The National Lottery Community Fund
3,GBP,4083,4083,18/06/2004,Multi Cultural Asian Group,The National Lottery Community Fund
348,GBP,2200,2200,08/11/2017,National Mining Museum Scotland Trust,The National Lottery Community Fund
303,GBP,10000,10000,17/12/2015,Newbattle Beekeepers Association,The National Lottery Community Fund
374,GBP,6000,6000,14/06/2018,Newbattle Community,The National Lottery Community Fund
417,GBP,4000,4000,07/06/2019,Newbattle Community,The National Lottery Community Fund
117,GBP,10000,10000,09/09/2009,Newbattle Community,The National Lottery Community Fund
17,GBP,5000,2000,08/10/2004,Newbattle Community,The National Lottery Community Fund
297,GBP,9998,9998,08/09/2015,Newbattle Community,The National Lottery Community Fund
246,GBP,9950,9950,01/03/2014,Newbattle Community,The National Lottery Community Fund
356,GBP,2137,2137,29/11/2017,Newbattle Community,Co-operative Group
335,GBP,20000,20000,25/07/2017,Newbattle Parish Church,The Robertson Trust
455,GBP,2000,2000,11/05/2020,Newbattle Parish Church,Scottish Government
342,GBP,1719,1719,04/08/2017,Newton grange Children's Galaday,Co-operative Group
135,GBP,1195,855,21/05/2010,Newton Lads Burns Club and Literary Society,The National Lottery Community Fund
195,GBP,1500,990,09/08/2012,Newton Lads Burns Club and Literary Society,The National Lottery Community Fund
477,GBP,10000,10000,06/07/2020,Newton Parish Church,The National Lottery Community Fund
341,GBP,1697,1697,04/08/2017,Newtongrange After School Club,Co-operative Group
430,GBP,3395,3395,15/11/2019,Newtongrange Community 1st,Co-operative Group
440,GBP,8800,8800,03/04/2020,Newtongrange Community 1st,The National Lottery Community Fund
471,GBP,2000,2000,17/06/2020,Newtongrange Community 1st,Scottish Government
432,GBP,3575,3575,15/11/2019,Newtongrange Silver Band ,Co-operative Group
57,GBP,4054,4054,05/12/2006,Nordoff-Robbins Music Therapy in Scotland,The National Lottery Community Fund
78,GBP,4275,4275,28/09/2007,Nordoff-Robbins Music Therapy in Scotland,The National Lottery Community Fund
415,GBP,2030,2030,07/06/2019,One Dalkeith,The National Lottery Community Fund
468,GBP,2000,2000,16/06/2020,One Dalkeith,Scottish Government
158,GBP,9308,9308,16/06/2011,Paddlers for Life Scotland South East,The National Lottery Community Fund
160,GBP,9648,9648,03/08/2011,Parents & Tots ,The National Lottery Community Fund
203,GBP,9960,6521,30/11/2012,Parents & Tots ,The National Lottery Community Fund
208,GBP,10000,8978,22/01/2013,Parents & Tots ,The National Lottery Community Fund
299,GBP,2325,2325,30/09/2015,Parents & Tots ,The National Lottery Community Fund
324,GBP,10000,10000,20/12/2016,Parents & Tots ,The National Lottery Community Fund
371,GBP,50000,50000,15/05/2018,Parents & Tots ,The National Lottery Community Fund
462,GBP,2000,2000,10/06/2020,Pathedible,Scottish Government
54,GBP,3578,3578,06/09/2006,Pathhead & District Pigeon Club,The National Lottery Community Fund
200,GBP,9950,8990,01/11/2012,Pathhead and District Community Association,The National Lottery Community Fund
222,GBP,8362,10000,26/03/2013,Pathhead and District Community Association,The National Lottery Community Fund
281,GBP,4131,4131,21/04/2015,Pathhead and District Community Association,The National Lottery Community Fund
411,GBP,3000,3000,30/05/2019,Pathhead Youth Project (PYP),The Robertson Trust
380,GBP,6000,6000,08/08/2018,Pathways to Success,The National Lottery Heritage Fund
292,GBP,4000,4000,06/08/2015,Penicuik & District ,Corra Foundation
247,GBP,3290,3290,13/03/2014,Penicuik & District ,The National Lottery Community Fund
12,GBP,1640,1640,09/09/2004,Penicuik & District ,The National Lottery Community Fund
241,GBP,10000,10000,24/01/2014,Penicuik & District ,The National Lottery Community Fund
433,GBP,7261,7261,11/12/2019,Penicuik & District ,The National Lottery Community Fund
448,GBP,2000,2000,05/05/2020,Penicuik CAB,Scottish Government
185,GBP,3764,3764,14/06/2012,Penicuik Citizens Advice Bureau,Nationwide Foundation
295,GBP,5575,5575,11/08/2015,Penicuik Community,The National Lottery Community Fund
45,GBP,4445,4445,12/04/2006,Penicuik Community,The National Lottery Community Fund
226,GBP,1400,1700,07/05/2013,Penicuik Community,The National Lottery Community Fund
220,GBP,10000,10000,19/03/2013,Penicuik Community,The National Lottery Community Fund
322,GBP,10000,10000,20/12/2016,Penicuik Community,The National Lottery Community Fund
74,GBP,10000,10000,05/07/2007,Penicuik Community,The National Lottery Community Fund
211,GBP,2000,2000,18/02/2013,Penicuik Community,The National Lottery Community Fund
88,GBP,9687,9687,19/03/2008,Penicuik High School,The National Lottery Community Fund
106,GBP,8072,5758,15/04/2009,Penicuik High School,The National Lottery Community Fund
199,GBP,4927,3694,11/10/2012,Penicuik High School,The National Lottery Community Fund
93,GBP,1800,1800,18/06/2008,Penicuik Horticultural Society,The National Lottery Community Fund
123,GBP,1027,1027,18/12/2009,Penicuik Horticultural Society,The National Lottery Community Fund
118,GBP,10000,10000,07/10/2009,Penicuik House Preservation Trust,The National Lottery Community Fund
321,GBP,5000,6500,02/12/2016,Penicuik North Church,Scottish Council For Voluntary Organisations
188,GBP,1550,1550,28/06/2012,Penicuik Petanque Club,The National Lottery Community Fund
419,GBP,1230,1230,04/07/2019,"PENICUIK, St James the Less",National Churches Trust
33,GBP,5000,5000,06/09/2005,Penicuik/L'Isle Sur La Sorgue,The National Lottery Community Fund
212,GBP,700,700,27/02/2013,Penicuik: North Parish Church ,The National Lottery Community Fund
103,GBP,1279,1279,10/12/2008,Pentland District Scout Council,The National Lottery Community Fund
331,GBP,1250,1250,23/05/2017,Air Training Corps ,The National Lottery Community Fund
441,GBP,1250,1250,09/04/2020,Pentland Piano Festival,The National Lottery Community Fund
99,GBP,8500,3149,17/09/2008,Pink Ladies,The National Lottery Community Fund
326,GBP,8536,8536,25/01/2017,Pink Ladies 1st,The National Lottery Community Fund
283,GBP,4000,4000,04/06/2015,Play Midlothian,Corra Foundation
287,GBP,9985,9985,25/06/2015,Play Midlothian,The National Lottery Community Fund
317,GBP,29789,29789,11/11/2016,Play Midlothian,BBC Children in Need
333,GBP,18000,18000,23/05/2017,Play Midlothian,The Robertson Trust
366,GBP,5000,5000,29/03/2018,Play Midlothian,Corra Foundation
372,GBP,8945,8945,30/05/2018,Play Midlothian,R S Macdonald Charitable Trust
388,GBP,6869,6869,05/10/2018,Play Midlothian,The National Lottery Community Fund
413,GBP,22000,22000,30/05/2019,Play Midlothian,The Robertson Trust
414,GBP,4000,4000,01/06/2019,Play Midlothian,Corra Foundation
420,GBP,5000,5000,10/07/2019,Play Midlothian,True Colours Trust
438,GBP,29162,29162,20/03/2020,Play Midlothian,BBC Children in Need
473,GBP,2785,2785,17/06/2020,Play Midlothian,BBC Children in Need
490,GBP,4000,2000,10/09/2020,Play Midlothian,Scottish Government
79,GBP,10000,10000,05/10/2007,Play Scotland,The National Lottery Community Fund
80,GBP,10000,10000,05/10/2007,Play Scotland,The National Lottery Community Fund
397,GBP,3806,3806,19/11/2018,Play Therapy Base Limited,Co-operative Group
481,GBP,36786,36786,09/09/2020,Play Therapy Base Limited,BBC Children in Need
284,GBP,1930,1930,12/06/2015,Play Therapy Base Limited,The National Lottery Community Fund
458,GBP,9647,9647,22/05/2020,Play Therapy Base Limited,The National Lottery Community Fund
491,GBP,4000,2000,10/09/2020,Play Therapy Base Limited,Scottish Government
159,GBP,1975,1975,03/08/2011,Poltonhall Pensioners,The National Lottery Community Fund
500,GBP,5000,5000,24/11/2020,Randori Social Enterprises,Scottish Government
449,GBP,2000,2000,05/05/2020,Randori Social Enterprises,Scottish Government
499,GBP,10000,10000,12/11/2020,Randori Social Enterprises,The National Lottery Community Fund
435,GBP,15000,15000,04/02/2020,Rosewell Development Trust,The Clothworkers Foundation
412,GBP,16500,16500,30/05/2019,Rosewell Development Trust,The Robertson Trust
175,GBP,9380,9380,23/02/2012,Rosewell Development Trust,The National Lottery Community Fund
191,GBP,9400,9400,03/08/2012,Rosewell Development Trust,The National Lottery Community Fund
251,GBP,1986,1994,17/03/2014,Rosewell Development Trust,The National Lottery Community Fund
255,GBP,9807,9807,27/04/2014,Rosewell Development Trust,The National Lottery Community Fund
304,GBP,2310,2310,17/02/2016,Rosewell Development Trust,The National Lottery Community Fund
307,GBP,1250,1250,14/06/2016,Pentlands Scottish Women's Institute,The National Lottery Community Fund
327,GBP,9800,9800,25/01/2017,Rosewell Development Trust,The National Lottery Community Fund
365,GBP,9406,9406,26/03/2018,Rosewell Development Trust,The National Lottery Community Fund
410,GBP,9100,9100,03/04/2019,Rosewell Development Trust,The National Lottery Community Fund
463,GBP,2000,2000,11/06/2020,Rosewell Development Trust,Scottish Government
497,GBP,5539,5539,05/11/2020,Rosewell Development Trust,Scottish Government
39,GBP,3650,3650,08/12/2005,Rosewell Primary School,The National Lottery Community Fund
101,GBP,10000,10000,17/09/2008,Rosewell Primary School,The National Lottery Community Fund
154,GBP,10000,10000,28/03/2011,Rosewell Primary School,The National Lottery Community Fund
469,GBP,2000,2000,16/06/2020,Roslin Village Group,Scottish Government
73,GBP,9370,9370,05/07/2007,Rural & Urban Training Scheme,Paul Hamlyn Foundation
492,GBP,4000,2000,10/09/2020,Rural & Urban Training Scheme,Scottish Government
36,GBP,4898,4898,04/10/2005,Rural & Urban Training Scheme,The National Lottery Community Fund
113,GBP,9750,9748,29/07/2009,Rural & Urban Training Scheme,The National Lottery Community Fund
189,GBP,9500,9500,13/07/2012,Rural & Urban Training Scheme,The National Lottery Community Fund
480,GBP,5000,5000,06/08/2020,Rural & Urban Training Scheme,The National Lottery Community Fund
218,GBP,2500,2500,06/03/2013,Saltersgate School,The Henry Smith Charity 
362,GBP,10000,10000,30/01/2018,Saltersgate School,The National Lottery Community Fund
408,GBP,2500,2500,20/03/2019,Saltersgate School,The Henry Smith Charity 
128,GBP,806,806,11/03/2010,Saltire Team Gymnastics,The National Lottery Community Fund
475,GBP,2000,2000,24/06/2020,Salvation Army,Scottish Government
151,GBP,10000,7980,17/03/2011,Scotland Royal Marines Association,The National Lottery Community Fund
38,GBP,1700,1700,01/11/2005,Scottish Pensioners Association ,The National Lottery Community Fund
138,GBP,1380,1590,15/07/2010,Scottish Pensioners Association ,The National Lottery Community Fund
257,GBP,1940,1940,19/05/2014,Scottish Pensioners Association ,The National Lottery Community Fund
46,GBP,5000,5000,10/05/2006,Silverburn Community Ltd,The National Lottery Community Fund
68,GBP,855,855,12/04/2007,St Augustine's R C High School,The National Lottery Community Fund
97,GBP,3105,3105,13/08/2008,St David's Bradbury Day Centre,The National Lottery Community Fund
166,GBP,7220,7220,30/09/2011,St David's Bradbury Day Centre,The National Lottery Community Fund
293,GBP,5000,5000,06/08/2015,St David's Bradbury Day Centre,Corra Foundation
129,GBP,10000,10000,11/03/2010,St David's Primary School,The National Lottery Community Fund
95,GBP,9560,5600,16/07/2008,St David's RC High School,The National Lottery Community Fund
229,GBP,10000,9013,22/05/2013,St Luke's Primary School Parent Council,The National Lottery Community Fund
453,GBP,7770,7770,06/05/2020,St Matthew's Parish Committee,The National Lottery Community Fund
328,GBP,17000,17000,31/01/2017,St. Davids Bradbury Day Centre,The Robertson Trust
450,GBP,2000,2000,05/05/2020,St. David's Bradbury Day Centre,Scottish Government
493,GBP,4000,2000,10/09/2020,Steps to Hope SCIO,Scottish Government
278,GBP,5465,5465,24/02/2015,Tea For Two,The National Lottery Community Fund
125,GBP,2244,2105,15/01/2010,Temple & District Playgroup,The National Lottery Community Fund
209,GBP,2500,3550,12/02/2013,Temple & District Playgroup,The National Lottery Community Fund
122,GBP,10000,10000,11/12/2009,Temple Village Halls Association,The National Lottery Community Fund
148,GBP,10000,10000,03/03/2011,Temple Village Halls Association,The National Lottery Community Fund
364,GBP,10000,10000,26/02/2018,Temple Village Halls Association,The National Lottery Community Fund
290,GBP,9841,9841,14/07/2015,The Aidis Trust,The National Lottery Community Fund
16,GBP,2236,2000,08/10/2004,The Crescent Playgroup,The National Lottery Community Fund
456,GBP,6350,6350,18/05/2020,The Dove Centre (SCIO),Scottish Government
238,GBP,9981,9981,04/12/2013,The Glencorse Association,The National Lottery Community Fund
256,GBP,3681,3681,01/05/2014,The Glencorse Association,The National Lottery Community Fund
102,GBP,10000,10000,12/11/2008,The Junior Mountaineering Club of Scotland,The National Lottery Community Fund
24,GBP,1650,1650,15/03/2005,The Marchburn Playgroup,The National Lottery Community Fund
109,GBP,1256,1256,29/04/2009,The Marchburn Playgroup,The National Lottery Community Fund
132,GBP,10000,10000,09/04/2010,The Mark Wright Project,The National Lottery Community Fund
495,GBP,5000,5000,12/10/2020,The Orchard Project (Cause) Ltd,The National Lottery Community Fund
496,GBP,9820,9820,12/10/2020,The Three Hares Woodland CIC,The National Lottery Community Fund
360,GBP,4000,4000,24/01/2018,The Warblers,The Robertson Trust
363,GBP,3000,3000,01/02/2018,The Warblers,Corra Foundation
403,GBP,3000,3000,01/02/2019,The Warblers,Corra Foundation
406,GBP,12000,12000,25/02/2019,The Warblers,The Robertson Trust
484,GBP,2000,2000,10/09/2020,The Warblers,Scottish Government
6,GBP,1102,1100,20/07/2004,The Wednesday Club,The National Lottery Community Fund
147,GBP,9711,9711,10/02/2011,The Wednesday Club,The National Lottery Community Fund
357,GBP,2211,2211,29/11/2017,Thornton Rose Riding for the Disabled,Co-operative Group
383,GBP,45000,45000,11/09/2018,Tinderbox Project,The Robertson Trust
83,GBP,9858,9858,30/11/2007,Top Service Midlothian Council,The National Lottery Community Fund
105,GBP,1000,1000,25/03/2009,Top Service Midlothian Council,The National Lottery Community Fund
302,GBP,9066,9066,17/12/2015,Transgression Foundation C.I.C,The National Lottery Community Fund
206,GBP,9882,9882,22/01/2013,Transmedia,The National Lottery Community Fund
274,GBP,9982,9982,01/12/2014,Transmedia,The National Lottery Community Fund
70,GBP,9374,8374,12/04/2007,Triangle Nursery,The National Lottery Community Fund
1,GBP,1,825,17/05/2004,Veterans ,The National Lottery Community Fund
2,GBP,525,525,24/05/2004,Veterans ,The National Lottery Community Fund
4,GBP,525,525,28/06/2004,Veterans ,The National Lottery Community Fund
5,GBP,780,780,19/07/2004,Veterans ,The National Lottery Community Fund
8,GBP,525,525,09/08/2004,Veterans ,The National Lottery Community Fund
13,GBP,875,875,13/09/2004,Veterans ,The National Lottery Community Fund
14,GBP,1225,1300,13/09/2004,Veterans ,The National Lottery Community Fund
15,GBP,875,875,27/09/2004,Veterans ,The National Lottery Community Fund
21,GBP,525,525,20/12/2004,Veterans ,The National Lottery Community Fund
22,GBP,875,875,07/02/2005,Veterans ,The National Lottery Community Fund
23,GBP,525,875,21/02/2005,Veterans ,The National Lottery Community Fund
26,GBP,2100,2100,02/05/2005,Veterans ,The National Lottery Community Fund
27,GBP,525,525,30/05/2005,Veterans ,The National Lottery Community Fund
32,GBP,500,500,05/09/2005,Veterans ,The National Lottery Community Fund
34,GBP,780,525,03/10/2005,Veterans ,The National Lottery Community Fund
163,GBP,500,500,24/08/2011,Veterans ,The National Lottery Community Fund
181,GBP,2113,1857,26/04/2012,Vocal - Voice of Carers Across Lothian,The National Lottery Community Fund
233,GBP,9459,9537,14/08/2013,Vocal - Voice of Carers Across Lothian,The National Lottery Community Fund
47,GBP,1015,1015,07/06/2006,Volunteer Centre Midlothian,The National Lottery Community Fund
76,GBP,1883,1883,29/08/2007,Volunteer Centre Midlothian,The National Lottery Community Fund
119,GBP,5700,5700,23/10/2009,Volunteer Centre Midlothian,The National Lottery Community Fund
183,GBP,3879,3079,17/05/2012,Volunteer Centre Midlothian,The National Lottery Community Fund
205,GBP,4196,4196,16/01/2013,Volunteer Centre Midlothian,The National Lottery Community Fund
240,GBP,5800,5800,23/01/2014,Volunteer Centre Midlothian,The National Lottery Heritage Fund
248,GBP,409,409,17/03/2014,Volunteer Centre Midlothian,The National Lottery Community Fund
330,GBP,29273,29273,10/05/2017,Volunteer Centre Midlothian,BBC Children in Need
384,GBP,48000,48000,11/09/2018,Volunteer Centre Midlothian,The Robertson Trust
422,GBP,9682,9682,21/08/2019,Volunteer Centre Midlothian,The National Lottery Community Fund
498,GBP,9861,9861,12/11/2020,Volunteer Centre Midlothian,The National Lottery Community Fund
300,GBP,7000,7000,08/10/2015,Volunteer Midlothian,Corra Foundation
311,GBP,9010,9010,06/09/2016,Volunteer Midlothian,The National Lottery Community Fund
316,GBP,6000,6000,06/10/2016,Volunteer Midlothian,Corra Foundation
347,GBP,6000,6000,05/10/2017,Volunteer Midlothian,Corra Foundation
313,GBP,1260,1260,07/09/2016,Rosewell Development Trust,The National Lottery Community Fund
98,GBP,10000,9570,13/08/2008,Wellington School,The National Lottery Community Fund
143,GBP,8340,6777,07/10/2010,Wellington School,The National Lottery Community Fund
268,GBP,1960,1190,11/09/2014,Whitehill Welfare Football Club,The National Lottery Community Fund
116,GBP,7269,7269,09/09/2009,Women's Aid (Midlothian) Limited,The National Lottery Community Fund
164,GBP,10000,10000,08/09/2011,Women's Aid (Midlothian) Limited,The National Lottery Community Fund
451,GBP,2000,2000,05/05/2020,Women's Aid (Midlothian) Limited,Scottish Government
416,GBP,2550,2550,07/06/2019,Woodburn Family Fun Day,The National Lottery Community Fund
20,GBP,5000,4500,03/12/2004,Woodburn Playgroup and Nursery,The National Lottery Community Fund
133,GBP,9260,8873,23/04/2010,Woodburn Women's Health & Motivation,The National Lottery Community Fund
